,Reaction,EC value,Method,Evaluation,Reaction.1,Reaction formula in CID format,order,order id,Reaction formula in python dictionary,T(K),pH,Ionic strength,pMg,K',electrolytes,Buffer/reagents/solute added,Reference_id,media conditions,exclude,reaction_id
983,phosphopyruvate hydratase,4.2.1.11,spectrophotometry,A,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),CHB_17835 = CHB_15377 + CHB_18021,984,Keq_984,"{'CHB_17835': -1, 'CHB_15377': 1, 'CHB_18021': 1}",298.15,7.0,,,4.52,"KCl (0.4 mol/L), MgSO4 (0.008 mol/L)",imidazole (0.05 mol dm-3),57WOL/BAL,mol/L;imidazole=0.05;(K)1(Cl)1=0.4;(Mg)1(SO4)1=0.008,no,rxn_38
984,phosphopyruvate hydratase,4.2.1.11,spectrophotometry,A,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),CHB_17835 = CHB_15377 + CHB_18021,985,Keq_985,"{'CHB_17835': -1, 'CHB_15377': 1, 'CHB_18021': 1}",298.15,7.38,,,4.56,"KCl (0.4 mol/L), MgSO4 (0.008 mol/L)",imidazole (0.05 mol dm-3),57WOL/BAL,mol/L;imidazole=0.05;(K)1(Cl)1=0.4;(Mg)1(SO4)1=0.008,no,rxn_38
985,phosphopyruvate hydratase,4.2.1.11,spectrophotometry,A,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),CHB_17835 = CHB_15377 + CHB_18021,986,Keq_986,"{'CHB_17835': -1, 'CHB_15377': 1, 'CHB_18021': 1}",298.15,7.38,,,4.64,"KCl (0.4 mol/L), MgSO4 (0.008 mol/L)",imidazole (0.05 mol dm-3),57WOL/BAL,mol/L;imidazole=0.05;(K)1(Cl)1=0.4;(Mg)1(SO4)1=0.008,no,rxn_38
986,phosphopyruvate hydratase,4.2.1.11,spectrophotometry,A,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),CHB_17835 = CHB_15377 + CHB_18021,987,Keq_987,"{'CHB_17835': -1, 'CHB_15377': 1, 'CHB_18021': 1}",298.15,7.0,,,4.68,"KCl (0.4 mol/L), MgSO4 (0.008 mol/L)",imidazole (0.05 mol dm-3),57WOL/BAL,mol/L;imidazole=0.05;(K)1(Cl)1=0.4;(Mg)1(SO4)1=0.008,no,rxn_38
987,phosphopyruvate hydratase,4.2.1.11,spectrophotometry,A,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),CHB_17835 = CHB_15377 + CHB_18021,988,Keq_988,"{'CHB_17835': -1, 'CHB_15377': 1, 'CHB_18021': 1}",298.15,7.46,,,4.68,"KCl (0.4 mol/L), MgSO4 (0.008 mol/L)",imidazole (0.05 mol dm-3),57WOL/BAL,mol/L;imidazole=0.05;(K)1(Cl)1=0.4;(Mg)1(SO4)1=0.008,no,rxn_38
988,phosphopyruvate hydratase,4.2.1.11,spectrophotometry,A,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),CHB_17835 = CHB_15377 + CHB_18021,989,Keq_989,"{'CHB_17835': -1, 'CHB_15377': 1, 'CHB_18021': 1}",298.15,7.38,,,4.7,"KCl (0.4 mol/L), MgSO4 (0.008 mol/L)",imidazole (0.05 mol dm-3),57WOL/BAL,mol/L;imidazole=0.05;(K)1(Cl)1=0.4;(Mg)1(SO4)1=0.008,no,rxn_38
989,phosphopyruvate hydratase,4.2.1.11,spectrophotometry,A,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),CHB_17835 = CHB_15377 + CHB_18021,990,Keq_990,"{'CHB_17835': -1, 'CHB_15377': 1, 'CHB_18021': 1}",298.15,7.85,,,4.71,"KCl (0.4 mol/L), MgSO4 (0.008 mol/L)",imidazole (0.05 mol dm-3),57WOL/BAL,mol/L;imidazole=0.05;(K)1(Cl)1=0.4;(Mg)1(SO4)1=0.008,no,rxn_38
990,phosphopyruvate hydratase,4.2.1.11,spectrophotometry,A,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),CHB_17835 = CHB_15377 + CHB_18021,991,Keq_991,"{'CHB_17835': -1, 'CHB_15377': 1, 'CHB_18021': 1}",298.15,7.12,,,4.8,"KCl (0.4 mol/L), MgSO4 (0.008 mol/L)",imidazole (0.05 mol dm-3),57WOL/BAL,mol/L;imidazole=0.05;(K)1(Cl)1=0.4;(Mg)1(SO4)1=0.008,no,rxn_38
991,phosphopyruvate hydratase,4.2.1.11,spectrophotometry,A,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),CHB_17835 = CHB_15377 + CHB_18021,992,Keq_992,"{'CHB_17835': -1, 'CHB_15377': 1, 'CHB_18021': 1}",298.15,7.12,,,4.8,"KCl (0.4 mol/L), MgSO4 (0.008 mol/L)",imidazole (0.05 mol dm-3),57WOL/BAL,mol/L;imidazole=0.05;(K)1(Cl)1=0.4;(Mg)1(SO4)1=0.008,no,rxn_38
992,phosphopyruvate hydratase,4.2.1.11,spectrophotometry,A,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),CHB_17835 = CHB_15377 + CHB_18021,993,Keq_993,"{'CHB_17835': -1, 'CHB_15377': 1, 'CHB_18021': 1}",298.15,7.16,,,4.8,"KCl (0.4 mol/L), MgSO4 (0.008 mol/L)",imidazole (0.05 mol dm-3),57WOL/BAL,mol/L;imidazole=0.05;(K)1(Cl)1=0.4;(Mg)1(SO4)1=0.008,no,rxn_38
993,phosphopyruvate hydratase,4.2.1.11,spectrophotometry,A,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),CHB_17835 = CHB_15377 + CHB_18021,994,Keq_994,"{'CHB_17835': -1, 'CHB_15377': 1, 'CHB_18021': 1}",298.15,7.46,,,4.82,"KCl (0.4 mol/L), MgSO4 (0.008 mol/L)",imidazole (0.05 mol dm-3),57WOL/BAL,mol/L;imidazole=0.05;(K)1(Cl)1=0.4;(Mg)1(SO4)1=0.008,no,rxn_38
994,phosphopyruvate hydratase,4.2.1.11,spectrophotometry,A,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),CHB_17835 = CHB_15377 + CHB_18021,995,Keq_995,"{'CHB_17835': -1, 'CHB_15377': 1, 'CHB_18021': 1}",298.15,7.46,,,4.86,"KCl (0.4 mol/L), MgSO4 (0.008 mol/L)",imidazole (0.05 mol dm-3),57WOL/BAL,mol/L;imidazole=0.05;(K)1(Cl)1=0.4;(Mg)1(SO4)1=0.008,no,rxn_38
995,phosphopyruvate hydratase,4.2.1.11,spectrophotometry,A,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),CHB_17835 = CHB_15377 + CHB_18021,996,Keq_996,"{'CHB_17835': -1, 'CHB_15377': 1, 'CHB_18021': 1}",298.15,8.25,,,4.97,"KCl (0.4 mol/L), MgSO4 (0.008 mol/L)",imidazole (0.05 mol dm-3),57WOL/BAL,mol/L;imidazole=0.05;(K)1(Cl)1=0.4;(Mg)1(SO4)1=0.008,no,rxn_38
996,phosphopyruvate hydratase,4.2.1.11,spectrophotometry,A,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),CHB_17835 = CHB_15377 + CHB_18021,997,Keq_997,"{'CHB_17835': -1, 'CHB_15377': 1, 'CHB_18021': 1}",298.15,7.16,,,4.97,"KCl (0.4 mol/L), MgSO4 (0.008 mol/L)",imidazole (0.05 mol dm-3),57WOL/BAL,mol/L;imidazole=0.05;(K)1(Cl)1=0.4;(Mg)1(SO4)1=0.008,no,rxn_38
997,phosphopyruvate hydratase,4.2.1.11,spectrophotometry,A,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),CHB_17835 = CHB_15377 + CHB_18021,998,Keq_998,"{'CHB_17835': -1, 'CHB_15377': 1, 'CHB_18021': 1}",298.15,7.38,,,5.0,"KCl (0.4 mol/L), MgSO4 (0.008 mol/L)",imidazole (0.05 mol dm-3),57WOL/BAL,mol/L;imidazole=0.05;(K)1(Cl)1=0.4;(Mg)1(SO4)1=0.008,no,rxn_38
998,phosphopyruvate hydratase,4.2.1.11,spectrophotometry,A,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),CHB_17835 = CHB_15377 + CHB_18021,999,Keq_999,"{'CHB_17835': -1, 'CHB_15377': 1, 'CHB_18021': 1}",298.15,8.25,,,5.05,"KCl (0.4 mol/L), MgSO4 (0.008 mol/L)",imidazole (0.05 mol dm-3),57WOL/BAL,mol/L;imidazole=0.05;(K)1(Cl)1=0.4;(Mg)1(SO4)1=0.008,no,rxn_38
999,phosphopyruvate hydratase,4.2.1.11,spectrophotometry,A,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),CHB_17835 = CHB_15377 + CHB_18021,1000,Keq_1000,"{'CHB_17835': -1, 'CHB_15377': 1, 'CHB_18021': 1}",298.15,7.88,,,5.06,"KCl (0.4 mol/L), MgSO4 (0.008 mol/L)",imidazole (0.05 mol dm-3),57WOL/BAL,mol/L;imidazole=0.05;(K)1(Cl)1=0.4;(Mg)1(SO4)1=0.008,no,rxn_38
1000,phosphopyruvate hydratase,4.2.1.11,spectrophotometry,A,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),CHB_17835 = CHB_15377 + CHB_18021,1001,Keq_1001,"{'CHB_17835': -1, 'CHB_15377': 1, 'CHB_18021': 1}",298.15,8.25,,,5.08,"KCl (0.4 mol/L), MgSO4 (0.008 mol/L)",imidazole (0.05 mol dm-3),57WOL/BAL,mol/L;imidazole=0.05;(K)1(Cl)1=0.4;(Mg)1(SO4)1=0.008,no,rxn_38
1001,phosphopyruvate hydratase,4.2.1.11,spectrophotometry,A,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),CHB_17835 = CHB_15377 + CHB_18021,1002,Keq_1002,"{'CHB_17835': -1, 'CHB_15377': 1, 'CHB_18021': 1}",298.15,7.88,,,5.1,"KCl (0.4 mol/L), MgSO4 (0.008 mol/L)",imidazole (0.05 mol dm-3),57WOL/BAL,mol/L;imidazole=0.05;(K)1(Cl)1=0.4;(Mg)1(SO4)1=0.008,no,rxn_38
1002,phosphopyruvate hydratase,4.2.1.11,spectrophotometry,A,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),CHB_17835 = CHB_15377 + CHB_18021,1003,Keq_1003,"{'CHB_17835': -1, 'CHB_15377': 1, 'CHB_18021': 1}",298.15,7.94,,,5.15,"KCl (0.4 mol/L), MgSO4 (0.008 mol/L)",imidazole (0.05 mol dm-3),57WOL/BAL,mol/L;imidazole=0.05;(K)1(Cl)1=0.4;(Mg)1(SO4)1=0.008,no,rxn_38
1003,phosphopyruvate hydratase,4.2.1.11,spectrophotometry,A,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),CHB_17835 = CHB_15377 + CHB_18021,1004,Keq_1004,"{'CHB_17835': -1, 'CHB_15377': 1, 'CHB_18021': 1}",298.15,7.88,,,5.25,"KCl (0.4 mol/L), MgSO4 (0.008 mol/L)",imidazole (0.05 mol dm-3),57WOL/BAL,mol/L;imidazole=0.05;(K)1(Cl)1=0.4;(Mg)1(SO4)1=0.008,no,rxn_38
1004,phosphopyruvate hydratase,4.2.1.11,spectrophotometry,A,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),CHB_17835 = CHB_15377 + CHB_18021,1005,Keq_1005,"{'CHB_17835': -1, 'CHB_15377': 1, 'CHB_18021': 1}",298.15,8.25,,,5.25,"KCl (0.4 mol/L), MgSO4 (0.008 mol/L)",imidazole (0.05 mol dm-3),57WOL/BAL,mol/L;imidazole=0.05;(K)1(Cl)1=0.4;(Mg)1(SO4)1=0.008,no,rxn_38
1005,phosphopyruvate hydratase,4.2.1.11,spectrophotometry,A,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),CHB_17835 = CHB_15377 + CHB_18021,1006,Keq_1006,"{'CHB_17835': -1, 'CHB_15377': 1, 'CHB_18021': 1}",298.15,7.85,,,5.25,"KCl (0.4 mol/L), MgSO4 (0.008 mol/L)",imidazole (0.05 mol dm-3),57WOL/BAL,mol/L;imidazole=0.05;(K)1(Cl)1=0.4;(Mg)1(SO4)1=0.008,no,rxn_38
1006,phosphopyruvate hydratase,4.2.1.11,spectrophotometry,A,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),CHB_17835 = CHB_15377 + CHB_18021,1007,Keq_1007,"{'CHB_17835': -1, 'CHB_15377': 1, 'CHB_18021': 1}",298.15,7.94,,,5.25,"KCl (0.4 mol/L), MgSO4 (0.008 mol/L)",imidazole (0.05 mol dm-3),57WOL/BAL,mol/L;imidazole=0.05;(K)1(Cl)1=0.4;(Mg)1(SO4)1=0.008,no,rxn_38
1007,phosphopyruvate hydratase,4.2.1.11,spectrophotometry,A,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),CHB_17835 = CHB_15377 + CHB_18021,1008,Keq_1008,"{'CHB_17835': -1, 'CHB_15377': 1, 'CHB_18021': 1}",298.15,7.88,,,5.92,"KCl (0.4 mol/L), MgSO4 (0.008 mol/L)",imidazole (0.05 mol dm-3),57WOL/BAL,mol/L;imidazole=0.05;(K)1(Cl)1=0.4;(Mg)1(SO4)1=0.008,no,rxn_38
1008,phosphopyruvate hydratase,4.2.1.11,spectrophotometry,A,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),CHB_17835 = CHB_15377 + CHB_18021,1009,Keq_1009,"{'CHB_17835': -1, 'CHB_15377': 1, 'CHB_18021': 1}",298.15,6.0,,,2.490935779,MgSO4 (0.001 mol/L),imidazole (0.05 mol dm-3),57WOL/BAL,mol/L;imidazole=0.05;(Mg)1(SO4)1=0.001,no,rxn_38
1009,phosphopyruvate hydratase,4.2.1.11,spectrophotometry,A,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),CHB_17835 = CHB_15377 + CHB_18021,1010,Keq_1010,"{'CHB_17835': -1, 'CHB_15377': 1, 'CHB_18021': 1}",298.15,6.5,,,3.514720594,MgSO4 (0.001 mol/L),imidazole (0.05 mol dm-3),57WOL/BAL,mol/L;imidazole=0.05;(Mg)1(SO4)1=0.001,no,rxn_38
1010,phosphopyruvate hydratase,4.2.1.11,spectrophotometry,A,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),CHB_17835 = CHB_15377 + CHB_18021,1011,Keq_1011,"{'CHB_17835': -1, 'CHB_15377': 1, 'CHB_18021': 1}",298.15,7.0,,,4.304752288,MgSO4 (0.001 mol/L),imidazole (0.05 mol dm-3),57WOL/BAL,mol/L;imidazole=0.05;(Mg)1(SO4)1=0.001,no,rxn_38
1011,phosphopyruvate hydratase,4.2.1.11,spectrophotometry,A,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),CHB_17835 = CHB_15377 + CHB_18021,1012,Keq_1012,"{'CHB_17835': -1, 'CHB_15377': 1, 'CHB_18021': 1}",298.15,7.5,,,4.713834273,MgSO4 (0.001 mol/L),imidazole (0.05 mol dm-3),57WOL/BAL,mol/L;imidazole=0.05;(Mg)1(SO4)1=0.001,no,rxn_38
1012,phosphopyruvate hydratase,4.2.1.11,spectrophotometry,A,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),CHB_17835 = CHB_15377 + CHB_18021,1013,Keq_1013,"{'CHB_17835': -1, 'CHB_15377': 1, 'CHB_18021': 1}",298.15,8.0,,,5.01034976,MgSO4 (0.001 mol/L),imidazole (0.05 mol dm-3),57WOL/BAL,mol/L;imidazole=0.05;(Mg)1(SO4)1=0.001,no,rxn_38
1013,phosphopyruvate hydratase,4.2.1.11,spectrophotometry,A,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),CHB_17835 = CHB_15377 + CHB_18021,1014,Keq_1014,"{'CHB_17835': -1, 'CHB_15377': 1, 'CHB_18021': 1}",298.15,8.5,,,5.155339897,MgSO4 (0.001 mol/L),imidazole (0.05 mol dm-3),57WOL/BAL,mol/L;imidazole=0.05;(Mg)1(SO4)1=0.001,no,rxn_38
1014,phosphopyruvate hydratase,4.2.1.11,spectrophotometry,A,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),CHB_17835 = CHB_15377 + CHB_18021,1015,Keq_1015,"{'CHB_17835': -1, 'CHB_15377': 1, 'CHB_18021': 1}",298.15,6.0,,,2.651099954,MgSO4 (0.01 mol/L),imidazole (0.05 mol dm-3),57WOL/BAL,mol/L;imidazole=0.05;(Mg)1(SO4)1=0.01,no,rxn_38
1015,phosphopyruvate hydratase,4.2.1.11,spectrophotometry,A,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),CHB_17835 = CHB_15377 + CHB_18021,1016,Keq_1016,"{'CHB_17835': -1, 'CHB_15377': 1, 'CHB_18021': 1}",298.15,6.5,,,3.410830318,MgSO4 (0.01 mol/L),imidazole (0.05 mol dm-3),57WOL/BAL,mol/L;imidazole=0.05;(Mg)1(SO4)1=0.01,no,rxn_38
1016,phosphopyruvate hydratase,4.2.1.11,spectrophotometry,A,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),CHB_17835 = CHB_15377 + CHB_18021,1017,Keq_1017,"{'CHB_17835': -1, 'CHB_15377': 1, 'CHB_18021': 1}",298.15,7.0,,,3.949775147,MgSO4 (0.01 mol/L),imidazole (0.05 mol dm-3),57WOL/BAL,mol/L;imidazole=0.05;(Mg)1(SO4)1=0.01,no,rxn_38
1017,phosphopyruvate hydratase,4.2.1.11,spectrophotometry,A,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),CHB_17835 = CHB_15377 + CHB_18021,1018,Keq_1018,"{'CHB_17835': -1, 'CHB_15377': 1, 'CHB_18021': 1}",298.15,7.5,,,4.315588216,MgSO4 (0.01 mol/L),imidazole (0.05 mol dm-3),57WOL/BAL,mol/L;imidazole=0.05;(Mg)1(SO4)1=0.01,no,rxn_38
1018,phosphopyruvate hydratase,4.2.1.11,spectrophotometry,A,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),CHB_17835 = CHB_15377 + CHB_18021,1019,Keq_1019,"{'CHB_17835': -1, 'CHB_15377': 1, 'CHB_18021': 1}",298.15,8.0,,,4.451920829,MgSO4 (0.01 mol/L),imidazole (0.05 mol dm-3),57WOL/BAL,mol/L;imidazole=0.05;(Mg)1(SO4)1=0.01,no,rxn_38
1019,phosphopyruvate hydratase,4.2.1.11,spectrophotometry,A,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),CHB_17835 = CHB_15377 + CHB_18021,1020,Keq_1020,"{'CHB_17835': -1, 'CHB_15377': 1, 'CHB_18021': 1}",298.15,8.5,,,4.55798951,MgSO4 (0.01 mol/L),imidazole (0.05 mol dm-3),57WOL/BAL,mol/L;imidazole=0.05;(Mg)1(SO4)1=0.01,no,rxn_38
1020,phosphopyruvate hydratase,4.2.1.11,spectrophotometry,A,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),CHB_17835 = CHB_15377 + CHB_18021,1021,Keq_1021,"{'CHB_17835': -1, 'CHB_15377': 1, 'CHB_18021': 1}",298.15,6.009250399,,,2.346153846,MnSO4 (0.001 mol/L),imidazole (0.05 mol dm-3),57WOL/BAL,mol/L;imidazole=0.05;(Mn)1(SO4)1=0.001,no,rxn_38
1021,phosphopyruvate hydratase,4.2.1.11,spectrophotometry,A,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),CHB_17835 = CHB_15377 + CHB_18021,1022,Keq_1022,"{'CHB_17835': -1, 'CHB_15377': 1, 'CHB_18021': 1}",298.15,6.506023801,,,3.206293706,MnSO4 (0.001 mol/L),imidazole (0.05 mol dm-3),57WOL/BAL,mol/L;imidazole=0.05;(Mn)1(SO4)1=0.001,no,rxn_38
1022,phosphopyruvate hydratase,4.2.1.11,spectrophotometry,A,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),CHB_17835 = CHB_15377 + CHB_18021,1023,Keq_1023,"{'CHB_17835': -1, 'CHB_15377': 1, 'CHB_18021': 1}",298.15,6.895190774,,,3.51048951,MnSO4 (0.001 mol/L),imidazole (0.05 mol dm-3),57WOL/BAL,mol/L;imidazole=0.05;(Mn)1(SO4)1=0.001,no,rxn_38
1023,phosphopyruvate hydratase,4.2.1.11,spectrophotometry,A,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),CHB_17835 = CHB_15377 + CHB_18021,1024,Keq_1024,"{'CHB_17835': -1, 'CHB_15377': 1, 'CHB_18021': 1}",298.15,7.309986505,,,3.916083916,MnSO4 (0.001 mol/L),imidazole (0.05 mol dm-3),57WOL/BAL,mol/L;imidazole=0.05;(Mn)1(SO4)1=0.001,no,rxn_38
1024,phosphopyruvate hydratase,4.2.1.11,spectrophotometry,A,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),CHB_17835 = CHB_15377 + CHB_18021,1025,Keq_1025,"{'CHB_17835': -1, 'CHB_15377': 1, 'CHB_18021': 1}",298.15,8.113151761,,,4.216783217,MnSO4 (0.001 mol/L),imidazole (0.05 mol dm-3),57WOL/BAL,mol/L;imidazole=0.05;(Mn)1(SO4)1=0.001,no,rxn_38
1025,phosphopyruvate hydratase,4.2.1.11,spectrophotometry,A,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),CHB_17835 = CHB_15377 + CHB_18021,1026,Keq_1026,"{'CHB_17835': -1, 'CHB_15377': 1, 'CHB_18021': 1}",298.15,5.901447675,,,2.104895105,MnSO4 (0.002 mol/L),imidazole (0.05 mol dm-3),57WOL/BAL,mol/L;imidazole=0.05;(Mn)1(SO4)1=0.002,no,rxn_38
1026,phosphopyruvate hydratase,4.2.1.11,spectrophotometry,A,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),CHB_17835 = CHB_15377 + CHB_18021,1027,Keq_1027,"{'CHB_17835': -1, 'CHB_15377': 1, 'CHB_18021': 1}",298.15,6.506404122,,,2.909090909,MnSO4 (0.002 mol/L),imidazole (0.05 mol dm-3),57WOL/BAL,mol/L;imidazole=0.05;(Mn)1(SO4)1=0.002,no,rxn_38
1027,phosphopyruvate hydratase,4.2.1.11,spectrophotometry,A,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),CHB_17835 = CHB_15377 + CHB_18021,1028,Keq_1028,"{'CHB_17835': -1, 'CHB_15377': 1, 'CHB_18021': 1}",298.15,6.926806527,,,3.513986014,MnSO4 (0.002 mol/L),imidazole (0.05 mol dm-3),57WOL/BAL,mol/L;imidazole=0.05;(Mn)1(SO4)1=0.002,no,rxn_38
1028,phosphopyruvate hydratase,4.2.1.11,spectrophotometry,A,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),CHB_17835 = CHB_15377 + CHB_18021,1029,Keq_1029,"{'CHB_17835': -1, 'CHB_15377': 1, 'CHB_18021': 1}",298.15,7.302208318,,,3.51048951,MnSO4 (0.002 mol/L),imidazole (0.05 mol dm-3),57WOL/BAL,mol/L;imidazole=0.05;(Mn)1(SO4)1=0.002,no,rxn_38
1029,phosphopyruvate hydratase,4.2.1.11,spectrophotometry,A,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),CHB_17835 = CHB_15377 + CHB_18021,1030,Keq_1030,"{'CHB_17835': -1, 'CHB_15377': 1, 'CHB_18021': 1}",298.15,8.105520795,,,3.825174825,MnSO4 (0.002 mol/L),imidazole (0.05 mol dm-3),57WOL/BAL,mol/L;imidazole=0.05;(Mn)1(SO4)1=0.002,no,rxn_38
1030,phosphopyruvate hydratase,4.2.1.11,spectrophotometry,A,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),CHB_17835 = CHB_15377 + CHB_18021,1031,Keq_1031,"{'CHB_17835': -1, 'CHB_15377': 1, 'CHB_18021': 1}",298.15,5.903619188,,,2.311188811,MnSO4 (0.005 mol/L),imidazole (0.05 mol dm-3),57WOL/BAL,mol/L;imidazole=0.05;(Mn)1(SO4)1=0.005,no,rxn_38
1031,phosphopyruvate hydratase,4.2.1.11,spectrophotometry,A,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),CHB_17835 = CHB_15377 + CHB_18021,1032,Keq_1032,"{'CHB_17835': -1, 'CHB_15377': 1, 'CHB_18021': 1}",298.15,6.502306465,,,2.853146853,MnSO4 (0.005 mol/L),imidazole (0.05 mol dm-3),57WOL/BAL,mol/L;imidazole=0.05;(Mn)1(SO4)1=0.005,no,rxn_38
1032,phosphopyruvate hydratase,4.2.1.11,spectrophotometry,A,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),CHB_17835 = CHB_15377 + CHB_18021,1033,Keq_1033,"{'CHB_17835': -1, 'CHB_15377': 1, 'CHB_18021': 1}",298.15,6.912599681,,,3.164335664,MnSO4 (0.005 mol/L),imidazole (0.05 mol dm-3),57WOL/BAL,mol/L;imidazole=0.05;(Mn)1(SO4)1=0.005,no,rxn_38
1033,phosphopyruvate hydratase,4.2.1.11,spectrophotometry,A,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),CHB_17835 = CHB_15377 + CHB_18021,1034,Keq_1034,"{'CHB_17835': -1, 'CHB_15377': 1, 'CHB_18021': 1}",298.15,7.309642989,,,3.216783217,MnSO4 (0.005 mol/L),imidazole (0.05 mol dm-3),57WOL/BAL,mol/L;imidazole=0.05;(Mn)1(SO4)1=0.005,no,rxn_38
1034,phosphopyruvate hydratase,4.2.1.11,spectrophotometry,A,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),CHB_17835 = CHB_15377 + CHB_18021,1035,Keq_1035,"{'CHB_17835': -1, 'CHB_15377': 1, 'CHB_18021': 1}",298.15,8.103655993,,,3.314685315,MnSO4 (0.005 mol/L),imidazole (0.05 mol dm-3),57WOL/BAL,mol/L;imidazole=0.05;(Mn)1(SO4)1=0.005,no,rxn_38
1035,alcohol dehydrogenase,1.1.1.1,spectrophotometry,A,ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),CHB_15846 + CHB_16236 = CHB_15343 + CHB_16908,1036,Keq_1036,"{'CHB_15343': 1, 'CHB_16908': 1, 'CHB_15846': -1, 'CHB_16236': -1}",293.15,7.0,0.1,,7.95e-05,,phosphate,58BAC,mol/L;IS=0.1,no,rxn_41
1036,alcohol dehydrogenase,1.1.1.1,spectrophotometry,A,ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),CHB_15846 + CHB_16236 = CHB_15343 + CHB_16908,1037,Keq_1037,"{'CHB_15343': 1, 'CHB_16908': 1, 'CHB_15846': -1, 'CHB_16236': -1}",293.15,8.0,0.1,,0.00084,,phosphate,58BAC,mol/L;IS=0.1,no,rxn_41
1037,alcohol dehydrogenase,1.1.1.1,spectrophotometry,A,ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),CHB_15846 + CHB_16236 = CHB_15343 + CHB_16908,1038,Keq_1038,"{'CHB_15343': 1, 'CHB_16908': 1, 'CHB_15846': -1, 'CHB_16236': -1}",293.15,9.0,0.1,,0.00807,,phosphate,58BAC,mol/L;IS=0.1,no,rxn_41
